listas,votos,electores
Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA),133306,258405
Alfonsin - González Fraga (ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL),34229,258405
Binner - Morandini (ALIANZA FRENTE AMPLIO PROGRESISTA),9819,258405
Duhalde - Das Neves (ALIANZA FRENTE POPULAR),5117,258405
Rodríguez Saa - Vernet (ALIANZA COMPROMISO FEDERAL),3343,258405
Altamira - Castillo (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),2912,258405
Carrió - Pérez (COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA),2287,258405
Votos En Blanco,368,258405
Votos Nulos,1446,258405
