lista,votos,electores,cargos
Frondizi - Gómez (Unión 	Cívica Radical Intransigente),78050,212303,10
Balbín - Del Castillo (Unión Cívica Radical Del Pueblo),46838,212303,4
Alianza Chaqueña,22338,212303,0
Otros,13170,212303,0
Solano Lima - Maldonado (Demócrata Conservador Popular),6643,212303,0
Ayarragaray - Sueldo (Demócrata Cristiano ),6133,212303,0
Votos En Blanco Y Nulos,14488,212303,0
