lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",18017,63692
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),17494,63692
Cavallo - Caro Figueroa (Accion Por La Republica),8707,63692
Méndez - Pompei (Humanista),411,63692
Walsh - Leonardi (Alianza Izquierda Unida),347,63692
Altamira - Rieznik (Obrero),335,63692
Mussa - Herrera (Alianza Social Cristiana),138,63692
Reyna - Moccia (Frente De La Resistencia),75,63692
Votos En Blanco,509,63692
Votos Nulos,1138,63692
