lista,votos,electores
Alianza Frente Patriótico Chubutense,101008,442344
"Alianza Chubut Al Frente - Por Siempre Chubut - A - Arcioni, Mariano 		Ezequiel",98671,442344
"Alianza Cambiemos Chubut - Cambia Chubut - F - Menna, Alberto Gustavo",43560,442344
"Del Obrero - Frente De Izq. Y De Los Trabajadores - A - Saez, 		Gloria Fernanda",8719,442344
"Independiente Del Chubut - Sumemos - A - Wohn, Carlos Eduardo",8126,442344
"Movimiento Socialista De Los Trabajadores - Unidad De La 		Izquierda - S - Masquijo, Cristian Oscar Maximiliano",7257,442344
"Movimiento Polo Social Chubut - El Agua Vale + Que El Oro - A - Petersen, Oscar Carlos",6124,442344
"Socialista Auténtico - 1° De Mayo - A - Giussi, Jose Luis",4162,442344
Votos En Blanco,23240,442344
Votos Nulos,10239,442344
