lista,votos,electores,cargos
Frondizi - Gómez (Unión 	Cívica Radical Intransigente),19891,55855,4
Balbín - Del Castillo (Unión Cívica Radical Del Pueblo),12395,55855,2
Unión Popular,3727,55855,0
Otros,3106,55855,0
Palacios - Sánchez Viamonte (Socialista),1990,55855,0
Votos En Blanco Y Nulos,3114,55855,0
