lista,votos,electores,cargos
Movimiento Popular Neuquino,20648,50727,5
Alende-Gelsi (Unión Cívica Radical Intransigente),6124,50727,2
Illia-Perette (Unión Cívica Radical Del Pueblo),3609,50727,1
Aramburu-Thedy (Demócrata Progresista),2367,50727,0
Otros,2837,50727,0
Votos En Blanco Y Nulos,4923,50727,0
