lista,votos,electores
Gutierrez - Koopmann Irizar,149897,497448
Rioseco - Martinez (Alianza Unidad Ciudadana Frente 		Neuquino),96700,497448
Quiroga - Schlereth (Alianza Cambiemos),56097,497448
Sobisch - Baum (Demócrata Cristiano),36780,497448
Godoy - Giachello (Alianza Frente De Izquierda Y De Los 		Trabajadores),13143,497448
Lamarca - Escobar (Movimiento Libres Del Sur),10425,497448
Vidal - Bourdieu (Iguales),4440,497448
Otton - Córdoba (Nueva Izquierda),2851,497448
Rodriguez - Farizano (Frente Social Por La Dignidad),2620,497448
Votos En Blanco,13894,497448
Votos Nulos,710,497448
