lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,126476,389787
Alianza Juntos Por El Cambio: Macri - Pichetto,97111,389787
Alianza Consenso Federal: Lavagna - Urtubey,24911,389787
Alianza Frente Nos: Gómez Centurión - Hotton,10944,389787
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,8112,389787
Unite Por La Libertad Y La Dignidad: Espert - Rosales,6426,389787
Movimiento Al Socialismo: Castañeira - Mulhall,2477,389787
Alianza Frente Patriota: Biondini - Venturino,1044,389787
Movimiento De Acción Vecinal: Albarracín - Pastore,992,389787
Partido Autonomista: Romero Feris - Sueldo,661,389787
Votos En Blanco,6723,389787
Votos Nulos,4980,389787
