lista,votos,electores,cargos
Frente Justicialista Popular,228388,686476,10
Fuerza Republicana,153614,686476,6
Union Civica Radical,98960,686476,6
Confederacion Federalista Independiente,51307,686476,0
Alianza De Centro,5458,686476,0
Alianza Izquierda Unida,5393,686476,0
Alianza Unidad Socialista,2952,686476,0
Obrero,932,686476,0
Frente Humanista - Verde,900,686476,0
Accion Provinciana,838,686476,0
Blanco De Los Jubilados,815,686476,0
Defensa Provincial Bandera Blanca,651,686476,0
Movimiento Nacionalista,245,686476,0
Votos En Blanco,1497,686476,0
Votos Nulos,3067,686476,0
