lista,votos,electores
Alianza Cambiemos,897660,2551306
Alianza Frente Para La Victoria: Scioli - Zannini,426934,2551306
Alianza Unidos Por Una Nueva Alternativa (Una),244779,2551306
Alianza Progresistas: Stolbizer - Olaviaga,123108,2551306
Alianza Frente De Izquierda Y De Los Trabajadores,82873,2551306
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,21085,2551306
Alianza Frente Popular: De Gennaro - Codoni,10562,2551306
Mst - Nueva Izquierda: Bodart - Ripoll,10318,2551306
Movimiento Al Socialismo: Castañeira - Ayala,9587,2551306
Partido Popular: Yattah - Moretta,3498,2551306
Movimiento De Accion Vecinal: Albarracín - Dib,1593,2551306
Votos En Blanco,36114,2551306
Votos Nulos,14939,2551306
