lista,votos,electores
Alianza Frente Para La Victoria,351886,761885
Alianza Union Para El Desarrollo Social,125229,761885
Alianza Frente Popular,39652,761885
Coalicion Civica-Afirmacion Por Una Republica Igualitaria,18682,761885
Alianza Compromiso Federal,16814,761885
Alianza Frente Amplio Progresista,16622,761885
Movimiento Accion Vecinal,5058,761885
Alianza Frente De Izquierda Y De Los Trabajadores,4486,761885
Alianza Proyecto Sur,3500,761885
Del Campo Popular,1174,761885
Votos En Blanco,10170,761885
Votos Nulos,4609,761885
