lista,votos,electores
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),301917,1072340
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),160534,1072340
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),156635,1072340
Kirchner-Scioli (Alianza Frente Para La Victoria),79361,1072340
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),70094,1072340
Moreau-Losada (Union Civica Radical),10174,1072340
Walsh-Parrilli (Alianza Izquierda Unida),8591,1072340
Bravo-Giustiniani (Socialista),8109,1072340
Sullings-Ambrosio (Humanista),4012,1072340
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),3875,1072340
Breide Obeid-Vasena (Popular De La Reconstruccion),3457,1072340
Altamira-Salas (Obrero),3348,1072340
Mazzitelli-Camps (Socialista Autentico),2237,1072340
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),2079,1072340
Mussa-Suárez (Alianza Unidos O Dominados),2062,1072340
Herrera-Cuneo (Democrata Cristiano),2019,1072340
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),1647,1072340
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),1167,1072340
Votos Blancos,6285,1072340
Votos Nulos,20965,1072340
