lista,votos,electores
Soria - Weretilneck (Alianza Frente Para La Victoria),156103,421572
Barbeito - Arriaga,114224,421572
Odarda - Ocampos (Coalicion Civica-Afirmación Para Una República Igualitaria),16963,421572
Lehner - Sarín (Socialista),6708,421572
Saavedra - Salicioni 	(Democrata Progresista),4725,421572
Quintillán - Dardik (Obrero),4164,421572
Vergara - Antinori (Comunista),2791,421572
Votos En Blanco,12191,421572
Votos Nulos,4832,421572
Votos Comando,819,421572
Votos Recurridos,586,421572
Votos Impugnados,90,421572
