lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,355537,851144
Alianza Cambiemos,136573,851144
Alianza Unidos Por Una Nueva Alternativa (Una),90922,851144
Alianza Frente De Izquierda Y De Los Trabajadores,8697,851144
Alianza Progresistas: Stolbizer - Olaviaga,7391,851144
Alianza Frente Popular: De Gennaro - Codoni,3870,851144
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,3765,851144
Partido Popular: Yattah - Moretta,3217,851144
Mst - Nueva Izquierda: Bodart - Ripoll,2941,851144
Movimiento Al Socialismo: Castañeira - Ayala,2908,851144
Movimiento De Accion Vecinal: Albarracín - Dib,1404,851144
Votos En Blanco,27190,851144
Votos Nulos,6492,851144
