lista,votos,electores,cargos
Frente Justicialista Popular,12263,42518,2
Union Civica Radical,10609,42518,2
Alianza De Centro,2404,42518,0
Alianza Izquierda Unida,1507,42518,0
Federal,595,42518,0
Movimiento Popular Fueguino,472,42518,0
Socialista Popular,251,42518,0
Obrero,239,42518,0
Socialista Autentico,216,42518,0
Frente Humanista - Verde,132,42518,0
De La Liberacion,43,42518,0
Votos En Blanco,676,42518,0
Votos Nulos,468,42518,0
