lista,votos,electores,cargos
Illia-Perette (Unión Cívica Radical Del Pueblo),844958,3752479,37
Alende-Gelsi (Unión Cívica Radical Intransigente),644237,3752479,28
Aramburu-Etchevehere (Unión Del Pueblo Argentino),247839,3752479,10
Aramburu-Thedy (Demócrata Progresista),167855,3752479,7
Orgaz-Fitte (Socialista Democrático),153198,3752479,6
Palacios-Soria (Socialista Argentino),148094,3752479,6
Sueldo-Cerro (Demócrata Cristiano),130389,3752479,5
Olmos-Jofre (Unión Conservadora),133199,3752479,5
Otros,171042,3752479,0
Votos En Blanco Y Nulos,655107,3752479,0
