lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,181912,421702
Alianza Unidos Por Una Nueva Alternativa (Una),51135,421702
Alianza Cambiemos,49353,421702
Alianza Frente De Izquierda Y De Los Trabajadores,4629,421702
Alianza Progresistas: Stolbizer - Olaviaga,2877,421702
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,1457,421702
Movimiento Al Socialismo: Castañeira - Ayala,1188,421702
Partido Popular: Yattah - Moretta,1064,421702
Mst - Nueva Izquierda: Bodart - Ripoll,810,421702
Movimiento De Accion Vecinal: Albarracín - Dib,563,421702
Alianza Frente Popular: De Gennaro - Codoni,90,421702
Votos En Blanco,9154,421702
Votos Nulos,2450,421702
