lista,votos,electores
Zamora - Niccolai (Frente Cívico Por Santiago),271810,566375
Lugones - Bertero (Fuerza De Unidad Popular),15614,566375
Cavallotti - Azar (Frente Cruzada Y Lealtad),8609,566375
Lo Bruno - Fabri (Propuesta Republicana),4132,566375
Salto - Abattedaga (Movimiento De Integración Y Desarrollo),3393,566375
Bravo - Alvarez (Socialista),3068,566375
Urquiza - Jaimez (Movimiento Socialista De Los Trabajadores),2442,566375
Calabrese - Barrionuevo (Dignidad Popular),1984,566375
Vargas - Gómez (Movimiento De Acción Vecinal),1679,566375
Ruiz - Fazzio (Obrero),1374,566375
Allub - Trejo (Movimiento De Bases Independientes),1294,566375
López - Abdala (Frente Concertación Plural),861,566375
Torres - Cejas (El Movimiento De Las Provincias Unidas),903,566375
Depetris - Moukarzel (Unión De Centro Democrático),693,566375
Migueles - Carabajal (Movimiento Independiente De Jubilados Y Desocupados),582,566375
Ledesma - Sokolic (Popular),229,566375
Votos Nulos,2804,566375
Votos En Blanco,6352,566375
