lista,votos,electores,cargos
Frente Justicialista Popular,69840,152444,8
Alianza Union Civica Radical - Movilizacion - Movimiento Popular Catamarqueño,50970,152444,6
Blanco De Los Jubilados,1719,152444,0
Alianza Izquierda Unida,1349,152444,0
Alianza De Centro,1236,152444,0
Alianza Unidad Socialista,633,152444,0
Frente Humanista - Verde,409,152444,0
Unificacion Populista,243,152444,0
Acuerdo Popular,234,152444,0
Votos En Blanco,1500,152444,0
Votos Nulos,392,152444,0
