lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,449526,1420294
Alianza Juntos Por El Cambio: Macri - Pichetto,412331,1420294
Alianza Consenso Federal: Lavagna - Urtubey,102491,1420294
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,45947,1420294
Alianza Frente Nos: Gómez Centurión - Hotton,42657,1420294
Unite Por La Libertad Y La Dignidad: Espert - Rosales,26244,1420294
Movimiento Al Socialismo: Castañeira - Mulhall,6151,1420294
Alianza Frente Patriota: Biondini - Venturino,3152,1420294
Movimiento De Acción Vecinal: Albarracín - Pastore,2755,1420294
Partido Autonomista: Romero Feris - Sueldo,1980,1420294
Votos En Blanco,13292,1420294
Votos Nulos,20536,1420294
