lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,41454,126968
Alianza Cambiemos,19338,126968
Alianza Unidos Por Una Nueva Alternativa (Una),18082,126968
Alianza Frente De Izquierda Y De Los Trabajadores,2351,126968
Alianza Progresistas: Stolbizer - Olaviaga,2075,126968
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,1711,126968
Movimiento Al Socialismo: Castañeira - Ayala,726,126968
Alianza Frente Popular: De Gennaro - Codoni,499,126968
Mst - Nueva Izquierda: Bodart - Ripoll,366,126968
Partido Popular: Yattah - Moretta,288,126968
Movimiento De Accion Vecinal: Albarracín - Dib,163,126968
Votos En Blanco,3067,126968
Votos Nulos,2764,126968
