lista,votos,electores
Macri - Vidal (Alianza Propuesta Republicana),836608,2486991
Filmus - Tomada (Alianza Frente Para La Victoria),495339,2486991
Solanas - Selser (Alianza Proyecto Sur),227863,2486991
Estenssoro - Sánchez (Alianza Coalición Cívica),58817,2486991
Giudici - Augugliaro Acierno,36203,2486991
Telerman - Kravetz (Frente Progresista Por Buenos Aires),31326,2486991
Zamora - Paul (Autodeterminación Y Libertad),26067,2486991
Lopez Murphy - Paulesu (Autonomista),24911,2486991
Castrilli - Iruzun Di Si (Acción Ciudadana),13827,2486991
Bregman - Castillo (Alianza Frente De Izquierda Y De Los 		Trabajadores),13804,2486991
Todesca - Yofre (Movimiento De Integración Y Desarrollo),5059,2486991
Biondini - Puertolas (Alternativa Social),3314,2486991
Rojas - Saboulard (Movimiento Avanzada Socialista),2553,2486991
Piragini - Ferrari (Alianza Frente De Los Ciudadanos),1728,2486991
Votos En Blanco,26497,2486991
Votos Nulos,15322,2486991
