lista,votos,electores
Alianza Frente Pais Solidario,593790,1999295
Justicialista,589734,1999295
Union Civica Radical,199423,1999295
Union De Centro Democratico,80089,1999295
Frente De Los Jubilados,74561,1999295
Movimiento Por La Dignidad Y La Independencia,24624,1999295
Alianza Sur,7881,1999295
Movimiento Socialista De Los Trabajadores,3817,1999295
Humanista,2778,1999295
Alianza Frente Unidad Trabajadora -Obrero,2502,1999295
Corriente Patria Libre,2401,1999295
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas,2311,1999295
Movimiento Democratico Popular Antimperialista,1928,1999295
Votos En Blanco,38424,1999295
Votos Nulos,13509,1999295
