lista,votos,electores
Justicialista,671265,1793963
Union Civica Radical,426250,1793963
Democrata Progresista,210062,1793963
Alianza Unidad Socialista,117499,1793963
Frente Amplio De Liberacion,23080,1793963
Movimiento De Integracion Y Desarrollo,22324,1793963
Union De Centro Democratico,16592,1793963
Intransigente,11195,1793963
Movimiento Al Socialismo,7842,1793963
Frente Renovador,4050,1793963
Obrero,3711,1793963
Del Trabajo Y Del Pueblo,3272,1793963
Movimiento Patriotico De Liberacion,2405,1793963
Tradicion Y Coherencia,2218,1793963
Votos En Blanco,26555,1793963
Votos Nulos,6683,1793963
