lista,votos,electores
Justicialista,70129,237979
Alianza Frente Pais Solidario,47302,237979
Union Civica Radical,29977,237979
Union De Centro Democratico,28904,237979
Movimiento Por La Dignidad Y La Independencia,3274,237979
Movimiento Socialista De Los Trabajadores,983,237979
Alianza Sur,975,237979
Humanista,766,237979
Obrero,746,237979
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas,720,237979
Corriente Patria Libre,497,237979
Movimiento Democratico Popular Antimperialista,402,237979
Votos En Blanco,11443,237979
Votos Nulos,4868,237979
