lista,votos,electores,cargos
Frondizi - Gómez (Unión 	Cívica Radical Intransigente),43794,92023,6
Demócrata Liberal,16610,92023,2
Balbín - Del Castillo (Unión Cívica Radical Del Pueblo),10363,92023,0
Otros,4877,92023,0
Votos En Blanco Y Nulos,6830,92023,0
