lista,votos,electores
Alianza Frente Para La Victoria,3303812,12431014
Alianza Cambiemos Buenos Aires - Lista 1 A Amarillo: Vidal - Salvador,2449078,12431014
Alianza Unidos Por Una Nueva Alternativa (Una) - Lista A Frente Renovador: Solá - Arroyo,1607427,12431014
Alianza Progresistas,313933,12431014
Alianza Frente De Izquierda Y Los Trabajadores,281133,12431014
Alianza Compromiso Federal - Lista P: D´Onofrio - Savignan,75470,12431014
Movimiento Socialista De Los Trabajadores - Lista Unidad: Ripoll - Gimenez,40595,12431014
Movimiento Al Socialismo - Lista A Sob: Heberling - Cisneros,38391,12431014
Alianza Frente Popular - Lista A Protagonismo Y Participacion: Aguirre - Braceras,37956,12431014
Patria Grande - Para La Liberacion: Bertoldi - Santadino,29123,12431014
Votos En Blanco,991876,12431014
Votos Nulos,61574,12431014
