lista,votos,electores,cargos
Perón - Quijano (Alianza Unión Civica Radical Yrigoyenista – Laborista),28995,64203,10
Tamborini - Mosca (Alianza Unión Democrática),16371,64203,0
Votos Blancos Y Nulos,1363,64203,0
