lista,votos,electores
Colazo - Cóccaro (Frente Unidad Provincial),25783,72340
Manfredotti - Gallo (Justicialista - Union De Centro Democratico),23081,72340
Garramuño - Chocrón (Movimiento Popular Fueguino),0,72340
Ríos - De Antueno (Afirmacion Para Una Republica Igualitaria),0,72340
Andino - Fadul (Federal Fueguino),0,72340
Ferreyra - Cambas (Frente De Accion Fueguina),0,72340
Rosboch - Contreras (De La Corriente),0,72340
Lataillade - Pelatay (Humanista),0,72340
Votos En Blanco,815,72340
Votos Nulos,2671,72340
