lista,votos,electores
Fernández de Kirchner - Boudou (ALIANZA FRENTE PARA LA VICTORIA),48465,100096
Binner - Morandini (ALIANZA FRENTE AMPLIO PROGRESISTA),7267,100096
Alfonsin - González Fraga (ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL),6117,100096
Rodríguez Saa - Vernet (ALIANZA COMPROMISO FEDERAL),4032,100096
Duhalde - Das Neves (ALIANZA FRENTE POPULAR),2510,100096
Altamira - Castillo (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),1370,100096
Carrió - Pérez (COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA),1063,100096
Votos En Blanco,1182,100096
Votos Nulos,135,100096
