lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),80716,241881
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),31295,241881
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),16374,241881
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",16221,241881
López Murphy - Bullrich (Recrear Para El Crecimiento),1936,241881
Sobisch - Asís,1172,241881
Pitrola - Arroyos (Obrero),1051,241881
Ammann - Deleonardi (Alianza Frente Amplio Hacia La Unidad Latinoamericana),857,241881
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),781,241881
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),599,241881
Breide Obeid - Vergara (Popular De La Reconstruccion),531,241881
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),34,241881
Mussa - Nespral (Confederacion Lealtad Popular),19,241881
Solanas - Cadelli (Socialista Autentico),5,241881
Votos Blancos,7318,241881
Votos Nulos,1752,241881
