lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),244723,705792
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),107527,705792
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),104796,705792
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",19938,705792
Sobisch - Asís,3203,705792
López Murphy - Bullrich (Recrear Para El Crecimiento),2672,705792
Pitrola - Arroyos (Obrero),2194,705792
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),2097,705792
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),1852,705792
Solanas - Cadelli (Socialista Autentico),1512,705792
Breide Obeid - Vergara (Popular De La Reconstruccion),1310,705792
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),1244,705792
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),1023,705792
Mussa - Nespral (Confederacion Lealtad Popular),50,705792
Votos Blancos,12811,705792
Votos Nulos,3445,705792
