lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",104134,251093
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),56741,251093
Cavallo - Caro Figueroa (Accion Por La Republica),21469,251093
Méndez - Pompei (Humanista),1270,251093
Walsh - Leonardi (Izquierda Unida),1029,251093
Altamira - Rieznik (Obrero),779,251093
Mussa - Herrera (Alianza Social Cristiana),744,251093
Reyna - Moccia (Frente De La Resistencia),640,251093
Votos En Blanco,13932,251093
Votos Nulos,3182,251093
