lista,votos,electores
Alianza Frente Del País Solidario,899230,2530230
Justicialista,518439,2530230
Unión Cívica Radical,215382,2530230
Unión De Centro Democrático,172625,2530230
Frente Recuperación Ética,103014,2530230
Federal,48287,2530230
Movimiento Por La Dignidad Y La Independencia,24997,2530230
Alianza Sur,11920,2530230
Socialista Autentico,7018,2530230
Humanista - Ecologista,5172,2530230
Movimiento Socialista De Los Trabajadores,4508,2530230
Alianza Frente Unidad De Los Trabajadores - Obrero,3642,2530230
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas,2549,2530230
Corriente Patria Libre,2001,2530230
Movimiento Democrático Antiimperialista,798,2530230
Votos En Blanco,31588,2530230
Votos Nulos,15934,2530230
