lista,votos,electores
Alianza Unidos Por Una Nueva Alternativa (Una),744021,2789055
Alianza Cambiemos,678186,2789055
Alianza Frente Para La Victoria: Scioli - Zannini,280740,2789055
Alianza Frente De Izquierda Y De Los Trabajadores,70650,2789055
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,57298,2789055
Alianza Progresistas: Stolbizer - Olaviaga,44422,2789055
Mst - Nueva Izquierda: Bodart - Ripoll,10315,2789055
Alianza Frente Popular: De Gennaro - Codoni,9302,2789055
Partido Popular: Yattah - Moretta,8570,2789055
Movimiento Al Socialismo: Castañeira - Ayala,7832,2789055
Movimiento De Accion Vecinal: Albarracín - Dib,5589,2789055
Votos En Blanco,44888,2789055
Votos Nulos,24009,2789055
