lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",3236791,9035493
Duhalde - Ortega,3115966,9035493
Cavallo - Caro Figueroa (Accion Por La Republica),670609,9035493
Walsh - Leonardi (Alianza Izquierda Unida - Movimiento Por El Socialismo Y El Trabajo),65414,9035493
Méndez - Pompei (Humanista),54969,9035493
Altamira - Rieznik (Obrero),49750,9035493
Reyna - Moccia (Frente De La Resistencia),22663,9035493
Montes - Hernández (De Los Trabajadores Socialistas),21824,9035493
Quarracino - Rearte (Socialista Autentico),20825,9035493
Mussa - Herrera (Alianza Social Cristiana),19810,9035493
Votos En Blanco,335581,9035493
Votos Nulos,56616,9035493
