lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,83564,252032
Alianza Juntos Por El Cambio: Macri - Pichetto,34151,252032
Alianza Consenso Federal: Lavagna - Urtubey,11274,252032
Alianza Frente Nos: Gómez Centurión - Hotton,5503,252032
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,5063,252032
Unite Por La Libertad Y La Dignidad: Espert - Rosales,3014,252032
Movimiento Al Socialismo: Castañeira - Mulhall,971,252032
Alianza Frente Patriota: Biondini - Venturino,302,252032
Movimiento De Acción Vecinal: Albarracín - Pastore,139,252032
Partido Autonomista: Romero Feris - Sueldo,108,252032
Votos En Blanco,33935,252032
Votos Nulos,2422,252032
