lista,votos,electores,cargos
Union Civica Radical,791470,1631287,23
Justicialista,561954,1631287,17
Movimiento De Integracion Y Desarrollo,13078,1631287,0
Intransigente,12245,1631287,0
Democrata,12232,1631287,0
Democrata Cristiano,5218,1631287,0
Alianza Democrata Socialista,2628,1631287,0
Socialista Popular,2563,1631287,0
Movimiento Al Socialismo,2351,1631287,0
Confederacion Nacional De Centro,2257,1631287,0
Frente De Izquierda Popular,1073,1631287,0
Obrero,767,1631287,0
Votos En Blanco,28624,1631287,0
Votos Nulos,4757,1631287,0
