lista,votos,electores,cargos
Union Civica Radical,84226,195344,8
Justicialista,62801,195344,6
Intransigente,2868,195344,0
Movimiento De Integracion Y Desarrollo,2616,195344,0
Democrata Cristiano,1481,195344,0
Provincial Rionegrino,1113,195344,0
Movimiento Al Socialismo,685,195344,0
Confederacion Nacional De Centro,458,195344,0
Democrata Progresista,257,195344,0
Federal,256,195344,0
Frente De Izquierda Popular,249,195344,0
Obrero,226,195344,0
Votos En Blanco,8619,195344,0
Votos Nulos,1828,195344,0
