lista,votos,electores
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),477738,2234092
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),363347,2234092
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),323293,2234092
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),188564,2234092
Kirchner-Scioli (Alianza Frente Para La Victoria),181702,2234092
Moreau-Losada (Union Civica Radical),47199,2234092
Walsh-Parrilli (Alianza Izquierda Unida),25878,2234092
Altamira-Salas (Obrero),14261,2234092
Bravo-Giustiniani (Socialista),11693,2234092
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),10603,2234092
Sullings-Ambrosio (Humanista),8284,2234092
Mussa-Suárez (Alianza Unidos O Dominados),5671,2234092
Herrera-Cuneo (Democrata Cristiano),5518,2234092
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),4298,2234092
Mazzitelli-Camps (Socialista Autentico),3571,2234092
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),3534,2234092
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),3438,2234092
Breide Obeid-Vasena (Popular De La Reconstruccion),2489,2234092
Votos Blancos,23298,2234092
Votos Nulos,33791,2234092
