lista,votos,electores
Justicialista,66902,146372
Union Civica Radical - Movimiento Popular Catamarqueño - La Voz Del Pueblo,51096,146372
Frente Renovador Democrata Cristiano - Intransigente,1286,146372
Movilizacion,1261,146372
Union De Centro Democratico - Democrata,970,146372
Movimiento De Integracion Y Desarrollo,744,146372
Movimiento Al Socialismo,384,146372
Movimiento Patriotico De Liberacion,295,146372
Alianza Unidad Socialista,294,146372
Frente Amplio De Liberacion,294,146372
Votos En Blanco,1348,146372
Votos Nulos,216,146372
