lista,votos,electores,cargos
Frente Corriente Renovadora,113163,427371,7
Union Civica Radical,89169,427371,6
Frente Justicialista Popular,83753,427371,5
Fuerza Republicana,6199,427371,0
Federal,3655,427371,0
Blanco De Los Jubilados,3596,427371,0
Alianza Izquierda Unida,2287,427371,0
Union De Centro Democratico,2001,427371,0
Socialista Popular,1672,427371,0
Frente Union Autonomista,973,427371,0
Frente Humanista - Verde,439,427371,0
Votos En Blanco,1848,427371,0
Votos Nulos,1444,427371,0
