lista,votos,electores
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),179162,260318
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),7207,260318
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),6927,260318
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),4687,260318
Kirchner-Scioli (Alianza Frente Para La Victoria),2627,260318
Moreau-Losada (Union Civica Radical),1567,260318
Walsh-Parrilli (Alianza Izquierda Unida),1131,260318
Bravo-Giustiniani (Socialista),572,260318
Herrera-Cuneo (Democrata Cristiano),346,260318
Altamira-Salas (Obrero),294,260318
Sullings-Ambrosio (Humanista),187,260318
Mussa-Suárez (Alianza Unidos O Dominados),183,260318
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),133,260318
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),3,260318
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),NA,260318
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),NA,260318
Mazzitelli-Camps (Socialista Autentico),NA,260318
Breide Obeid-Vasena (Popular De La Reconstruccion),NA,260318
Votos Blancos,5020,260318
Votos Nulos,1366,260318
