lista,votos,electores
Alianza Frente Para La Victoria,337470,723007
Alianza 	Unión Para El Desarrollo Social,75228,723007
Alianza Frente Popular,59557,723007
Alianza Compromiso Federal,17883,723007
Alianza Frente Amplio Progresista,16058,723007
Coalición Cívica-Afirmación Para Una República Igualitaria,10878,723007
Alianza Frente De Izquierda Y De Los Trabajadores,4139,723007
Movimiento 	Acción Vecinal,2379,723007
Alianza Proyecto Sur,1829,723007
Del Campo Popular,1077,723007
Votos En Blanco,18730,723007
Votos Nulos,4604,723007
