lista,votos,electores
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),116309,191316
Kirchner-Scioli (Alianza Frente Para La Victoria),8873,191316
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),6421,191316
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),4213,191316
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),2443,191316
Moreau-Losada (Union Civica Radical),1998,191316
Walsh-Parrilli (Alianza Izquierda Unida),997,191316
Altamira-Salas (Obrero),127,191316
Sullings-Ambrosio (Humanista),123,191316
Bravo-Giustiniani (Socialista),110,191316
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),63,191316
Herrera-Cuneo (Democrata Cristiano),58,191316
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),56,191316
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),51,191316
Mussa-Suárez (Alianza Unidos O Dominados),43,191316
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),42,191316
Breide Obeid-Vasena (Popular De La Reconstruccion),29,191316
Mazzitelli-Camps (Socialista Autentico),0,191316
Votos Blancos,14006,191316
Votos Nulos,912,191316
