lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),233023,658395
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),100451,658395
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),63077,658395
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",21789,658395
Sobisch - Asís,4150,658395
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),2670,658395
López Murphy - Bullrich (Recrear Para El Crecimiento),2034,658395
Solanas - Cadelli (Socialista Autentico),916,658395
Breide Obeid - Vergara (Popular De La Reconstruccion),823,658395
Pitrola - Arroyos (Obrero),516,658395
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),499,658395
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),481,658395
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),35,658395
Mussa - Nespral (Confederacion Lealtad Popular),11,658395
Votos Blancos,29547,658395
Votos Nulos,6704,658395
