lista,votos,electores
Justicialista,85304,245978
Alianza Convergencia,65501,245978
Movimiento Unidad Renovadora,31811,245978
Movimiento Renovador Federalista,4017,245978
Alianza Democrata,1736,245978
Democrata Cristiano,1452,245978
Alianza Frente Amplio Jujeño Para La Liberación,1394,245978
Movimiento Al Socialismo,926,245978
Del Trabajo Y Del Pueblo,773,245978
Alianza Unidad Socialista,757,245978
Movimiento De Integracion Y Desarrollo,754,245978
Votos En Blanco,2852,245978
Votos Nulos,813,245978
