lista,votos,electores,cargos
Alende-Gelsi (Unión Cívica Radical Intransigente),14410,103141,4
Illia-Perette (Unión Cívica Radical Del Pueblo),5529,103141,1
Olmos-Jofre (Demócrata),5088,103141,1
Aramburu-Etchevehere (Unión Del Pueblo Argentino),4868,103141,1
Aramburu-Thedy (Demócrata Progresista),3651,103141,1
Otros,3430,103141,0
Votos En Blanco Y Nulos,46789,103141,0
