lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,569809,1249598
Alianza Juntos Por El Cambio: Macri - Pichetto,239025,1249598
Alianza Consenso Federal: Lavagna - Urtubey,65685,1249598
Alianza Frente Nos: Gómez Centurión - Hotton,32106,1249598
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,15484,1249598
Unite Por La Libertad Y La Dignidad: Espert - Rosales,14758,1249598
Movimiento Al Socialismo: Castañeira - Mulhall,2360,1249598
Alianza Frente Patriota: Biondini - Venturino,1315,1249598
Movimiento De Acción Vecinal: Albarracín - Pastore,823,1249598
Partido Autonomista: Romero Feris - Sueldo,583,1249598
Votos En Blanco,16336,1249598
Votos Nulos,11560,1249598
