lista,votos,electores,cargos
Justicialista,253485,612446,34
Union Civica Radical,181576,612446,24
Alianza Frente Vanguardia Federal - Democrata Cristiano,29103,612446,2
Movimiento De Integracion Y Desarrollo,4309,612446,0
Comunista,3592,612446,0
De Centro,3016,612446,0
Union De Centro Democratico,1875,612446,0
Federal,1711,612446,0
Socialista Democratico,1674,612446,0
Intransigente,1504,612446,0
Frente De Izquierda Popular,1488,612446,0
Movimiento Al Socialismo,1109,612446,0
Union Popular,1094,612446,0
Socialista Popular,1026,612446,0
Obrero,746,612446,0
Defensa Provincial,620,612446,0
Movimiento Nacionalista,573,612446,0
Votos Blancos,3863,612446,0
Votos Nulos,7807,612446,0
