lista,votos,electores,cargos
Union Civica Radical,2878858,6567389,79
Justicialista,2364585,6567389,65
Intransigente,181488,6567389,0
Movimiento De Integracion Y Desarrollo,47004,6567389,0
Alianza Federal,33203,6567389,0
Union De Centro Democratico,24882,6567389,0
Movimiento Al Socialismo,24462,6567389,0
Alianza Democrata Socialista,13785,6567389,0
Democrata Cristiano,12764,6567389,0
Obrero,6173,6567389,0
Socialista Popular,4816,6567389,0
Frente De Izquierda Popular,4074,6567389,0
Conservador Principista,3000,6567389,0
Renovador De La Provincia,448,6567389,0
Votos Blancos,137866,6567389,0
Votos Nulos,21807,6567389,0
