lista,votos,electores
Casas - Bosetti (Alianza Frente Para La Victoria),111843,267531
Martínez - Bordagaray (Fuerza Civica Riojana),80235,267531
Gómez - Menna (Frente Riojano De Organizacion Popular Victoria Romero),1138,267531
Pavón - Scruchi (Izquierda Por Una Opcion Socialista),1062,267531
Gallo - Carpesini (Republica Y Democracia),839,267531
Martínez - Ramos (Comunista),573,267531
Vedia - Quiroga (Nueva Izquierda - Mst),561,267531
Torres - Guardia (Frente Grande),455,267531
Santander - Rippa (Es Posible),416,267531
Votos En Blanco,9679,267531
Votos Nulos,2471,267531
