lista,votos,electores,cargos
Frente Justicialista Popular,165331,401026,11
Union Civica Radical,119882,401026,7
Union De Centro Democratico,14246,401026,0
Confederacion Federalista Independiente,7706,401026,0
Socialista Popular,1658,401026,0
Alianza Izquierda Unida,1624,401026,0
Frente Humanista-Verde,1458,401026,0
Obrero,756,401026,0
Votos En Blanco,5017,401026,0
Votos Nulos,1845,401026,0
