lista,votos,electores,cargos
Alfonsin - Martinez (Union Civica Radical),7724559,17929951,317
Luder - Bittel (Justicialista),5995402,17929951,259
Partidos De Distrito,384302,17929951,20
Alende - Viale (Intransigente),347654,17929951,2
Frigerio - Salonia (Movimiento De Integracion Y Desarrollo),177426,17929951,2
Manrique - Rawson (Alianza Federal),57026,17929951,0
Martinez Raymonda - Balestra (Alianza Democrata Socialista),47736,17929951,0
Cerro - Ponsati (Democrata Cristiano),46544,17929951,0
Zamora - Diaz (Movimiento Al Socialismo),42500,17929951,0
Alsogaray - Oria (Union De Centro Democratico),25263,17929951,0
Estevez Boero - Rossi (Socialista Popular),21177,17929951,0
Ramos - Colombo (Frente De Izquierda Popular),14093,17929951,0
Flores - Guagnini (Obrero),13067,17929951,0
Confederacion Nacional De Centro,7745,17929951,0
Conservador Popular,13,17929951,0
Votos En Blanco,326678,17929951,0
Votos Nulos,95984,17929951,0
