lista,votos,electores
Poggi-Díaz (Alianza Compromiso Federal),129170,312226
Verges-Saber (Alianza Frente Para La Victoria),56896,312226
Riccardo-Endeiza (Alianza Frente Unidos Por San Luis),37378,312226
Votos En Blanco,2225,312226
Votos Nulos,26437,312226
