lista,votos,electores,cargos
Frondizi - Gómez (Unión 	Cívica Radical Intransigente),18939,49927,4
Balbín - Del Castillo (Unión Cívica Radical Del Pueblo),11726,49927,2
González Iramain - Aguinaga (Demócrata),2413,49927,0
Ayarragaray - Sueldo (Demócrata Cristiano ),2135,49927,0
Otros,1943,49927,0
Votos En Blanco Y Nulos,2741,49927,0
