listas,votos,electores
Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA),395548,819834
Alfonsin - González Fraga (ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL),89383,819834
Binner - Morandini (ALIANZA FRENTE AMPLIO PROGRESISTA),50916,819834
Duhalde - Das Neves (ALIANZA FRENTE POPULAR),25479,819834
Altamira - Castillo (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),22267,819834
Rodríguez Saa - Vernet (ALIANZA COMPROMISO FEDERAL),1997,819834
Carrió - Pérez (COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA),9227,819834
Votos En Blanco,8257,819834
Votos Nulos,5983,819834
