lista,votos,electores
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),144213,517665
Kirchner-Scioli (Alianza Frente Para La Victoria),137899,517665
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),22513,517665
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),15164,517665
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),11447,517665
Moreau-Losada (Union Civica Radical),8819,517665
Walsh-Parrilli (Alianza Izquierda Unida),2668,517665
Bravo-Giustiniani (Socialista),1077,517665
Herrera-Cuneo (Democrata Cristiano),1043,517665
Altamira-Salas (Obrero),430,517665
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),318,517665
Breide Obeid-Vasena (Popular De La Reconstruccion),309,517665
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),245,517665
Mussa-Suárez (Alianza Unidos O Dominados),68,517665
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),0,517665
Sullings-Ambrosio (Humanista),0,517665
Mazzitelli-Camps (Socialista Autentico),0,517665
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),0,517665
Votos Blancos,4009,517665
Votos Nulos,2336,517665
