lista,votos,electores
Gioja - Uñac,187801,438193
Basualdo - Anzor,75364,438193
Ramírez - Ocampo (Frente Propuesta Republicana),9789,438193
Avelín - García (Cruzada Renovadora),9436,438193
Arancibia - Capello (U.n.a. Por San Juan),7646,438193
Seguí - Castillo (Coalicion Civica),6519,438193
Sánchez - Rodríguez (Dignidad Ciudadana),6376,438193
Córdoba - Nefa (Concertacion Popular),2427,438193
Mini - Aguilar (Movimiento Socialista De Los Trabajadores),1721,438193
Votos En Blanco,11553,438193
Votos Nulos,4324,438193
