lista,votos,electores
Kirchner-Scioli (Alianza Frente Para La Victoria),61121,318273
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),60525,318273
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),41271,318273
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),40925,318273
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),19846,318273
Walsh-Parrilli (Alianza Izquierda Unida),3947,318273
Altamira-Salas (Obrero),2859,318273
Bravo-Giustiniani (Socialista),2684,318273
Sullings-Ambrosio (Humanista),2072,318273
Moreau-Losada (Union Civica Radical),1985,318273
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),1164,318273
Mussa-Suárez (Alianza Unidos O Dominados),1058,318273
Breide Obeid-Vasena (Popular De La Reconstruccion),871,318273
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),841,318273
Herrera-Cuneo (Democrata Cristiano),684,318273
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),12,318273
Mazzitelli-Camps (Socialista Autentico),0,318273
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),0,318273
Votos Blancos,3772,318273
Votos Nulos,6587,318273
