lista,votos,electores
"Alianza Frente Para La Victoria - Corpacci, Lucía Benigna",82015,294143
"Alianza Frente Civico Y Social - Brizuela Del Moral, Eduardo Segundo",61497,294143
"Alianza Frente Tercera Posicion - Rivera, Marcelo Daniel",11087,294143
"Obrero - Lopez, Ariel Antonio",1305,294143
"Gen - Quintar, Julian Nando",872,294143
"Mst - Movimiento Socialista De Los Trabajadores - Blanes, Daniel Humberto",443,294143
"Movimiento Libres Del Sur - Herrera, Luis Tomas",291,294143
Votos En Blanco,9545,294143
Votos Nulos,1249,294143
Votos Recurridos,155,294143
Votos Impugnados,68,294143
