lista,votos,electores,cargos
Unión Cívica Radical Intransigente,27587,74373,22
Unión Cívica Radical Del Pueblo,19282,74373,6
Populista,7547,74373,3
Demócrata Conservador,6678,74373,2
Otros,6660,74373,0
