lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",332142,778185
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),263967,778185
Cavallo - Caro Figueroa (Accion Por La Republica),38055,778185
Walsh - Leonardi (Alianza Izquierda Unida - Comunista),3144,778185
Méndez - Pompei (Humanista),2370,778185
Mussa - Herrera (Alianza Social Cristiana),2217,778185
Altamira - Rieznik (Obrero),1537,778185
Quarracino - Rearte (Socialista Autentico),1400,778185
Montes - Hernández (De Los Trabajadores Socialistas),1035,778185
Reyna - Moccia (Frente De La Resistencia),197,778185
Votos En Blanco,21432,778185
Votos Nulos,4318,778185
