listas,votos,electores
Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA),366727,723136
Alfonsin - González Fraga (ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL),75077,723136
Duhalde - Das Neves (ALIANZA FRENTE POPULAR),44177,723136
Binner - Morandini (ALIANZA FRENTE AMPLIO PROGRESISTA),31156,723136
Rodríguez Saa - Vernet (ALIANZA COMPROMISO FEDERAL),16917,723136
Carrió - Pérez (COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA),7105,723136
Altamira - Castillo (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),5512,723136
Votos En Blanco,9893,723136
Votos Nulos,3029,723136
